strain	date	agecat	country	region	accession
hRSV/A/Germany/BE-00-02321/2000	2000-02-23	Infants	Germany	Berlin	
hRSV/A/Netherlands/02-017863/2002	2002-06-29		Netherlands		
hRSV/A/Germany/RP-08-02984/2008	2008-04-02	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/BB-01-01609/2001	2001-02-05	Preschool	Germany	Brandenburg	
hRSV/A/Germany/BE-02-00980/2002	2002-01-29	Newborns	Germany	Berlin	
hRSV/A/Germany/BE-03-01038/2003	2003-02-04	Newborns	Germany	Berlin	
hRSV/A/Germany/RP-06-01417/2006	2006-02-10	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-07-02759/2007	2007-03-05	Infants	Germany	Rhineland Palatinate	
hRSV/A/Italy/ITA-119/2009	2009-02-26	Children	Italy	Pavia	
hRSV/A/Argentina/170/2005	2005-06-21		Argentina		
hRSV/A/Germany/BY-05-01521/2005	2005-02-03	Preschool	Germany	Bavaria	
hRSV/A/Germany/BE-04-01144/2004	2004-01-21	Infants	Germany	Berlin	
hRSV/A/Germany/SH-05-02141/2005	2005-02-14	Preschool	Germany	Schleswig Holstein	
hRSV/A/Germany/RP-02-01284/2002	2002-02-16	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-04-01889/2004	2004-02-15	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/BW-06-02671/2006	2006-03-29	Preschool	Germany	Baden-Wurttemberg	
hRSV/A/Germany/RP-07-01529/2007	2007-02-12	Preschool	Germany	Rhineland Palatinate	
hRSV/A/England/094780280/2009	2009-11-18	Preschool	United Kingdom	England	
hRSV/A/Germany/RP-08-02097/2008	2008-02-25	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-04-01612/2004	2004-02-07	Infants	Germany	Rhineland Palatinate	
hRSV/A/Mexico/MEX-23/2004	2004-12-24	Preschool	Mexico		
hRSV/A/Germany/BY-00-02433/2000	2000-03-07	Preschool	Germany	Bavaria	
hRSV/A/Germany/NI-01-02679/2001	2001-03-29	Infants	Germany	Lower Saxony	
hRSV/A/Germany/NI-03-00557/2002	2002-12-12	Newborns	Germany	Lower Saxony	
hRSV/A/Germany/RP-05-00643/2004	2004-12-17	Preschool	Germany	Rhineland Palatinate	
hRSV/A/Argentina/159/2004	2004-05-26		Argentina		
hRSV/A/Italy/ITA-120/2009	2009-03-19	Infants	Italy	Pavia	
hRSV/A/England/094820034/2009	2009-11-23	Preschool	United Kingdom	England	
hRSV/A/England/104800018/2010	2010-11-25	Geriatrics	United Kingdom	England	
hRSV/A/Germany/BY-00-02504/2000	2000-03-20	Preschool	Germany	Bavaria	
hRSV/A/Germany/NI-03-00082/2002	2002-10-25	Infants	Germany	Lower Saxony	
hRSV/A/USA/02-20-2001-GA2/2001	2001-02-20		USA	Tennessee	
hRSV/A/Germany/BB-00-02234/2000	2000-02-17	Preschool	Germany	Brandenburg	
hRSV/A/Germany/BE-01-01600/2001	2001-02-05	Newborns	Germany	Berlin	
hRSV/A/Germany/RP-06-03114/2006	2006-04-11	Infants	Germany	Rhineland Palatinate	
hRSV/A/Peru/PER-FLU5848/2007	2007-03-17	Preschool	Peru	Piura	
hRSV/A/Netherlands/01-031282/2001	2001-12-22		Netherlands		
hRSV/A/Germany/NI-02-02431/2002	2002-03-26	Infants	Germany	Lower Saxony	
hRSV/A/Germany/BE-05-00877/2005	2005-01-06	Preschool	Germany	Berlin	
hRSV/A/Netherlands/07-040054/2007	2007-12-10		Netherlands		
hRSV/A/Germany/NI-01-02630/2001	2001-03-27	Infants	Germany	Lower Saxony	
hRSV/A/Germany/RP-04-01960/2004	2004-02-17	Infants	Germany	Rhineland Palatinate	
hRSV/A/Peru/PER-FLA7779/2009	2009-05-29	Preschool	Peru	Piura	
hRSV/A/Peru/PER-FLA0535/2008	2008-02-29	Infants	Peru	Piura	
hRSV/A/Germany/RP-07-01176/2007	2007-02-05	Preschool	Germany	Rhineland Palatinate	
hRSV/A/Netherlands/05-000417/2005	2005-01-05		Netherlands		
hRSV/A/Germany/BW-11-00752/2010	2010-12-27	Infants	Germany	Baden-Wurttemberg	
hRSV/A/Germany/RP-02-02688/2002	2002-04-25	Newborns	Germany	Rhineland Palatinate	
hRSV/A/Germany/BE-00-02128/2000	2000-02-11	Preschool	Germany	Berlin	
hRSV/A/Germany/BE-05-00962/2005	2005-01-11	Preschool	Germany	Berlin	
hRSV/A/Germany/BY-03-00597/2002	2002-12-16	Preschool	Germany	Bavaria	
hRSV/A/Netherlands/08-044640/2008	2008-12-06		Netherlands		
hRSV/A/Germany/RP-10-03936/2010	2010-03-29	Preschool	Germany	Rhineland Palatinate	
hRSV/A/Argentina/177/2006	2006-06-06		Argentina		
hRSV/A/Germany/RP-06-01244/2006	2006-01-27	Preschool	Germany	Rhineland Palatinate	
hRSV/A/Peru/PER-FLA7776/2009	2009-05-27	Preschool	Peru	Piura	
hRSV/A/USA/A-WI-629-21-07/2007	2007-12-22		USA	Wisconsin	
hRSV/A/Mexico/MEX-29/2007	2007-02-16	Infants	Mexico		
hRSV/A/USA/A-WI-629-22-07/2007	2007-12-28		USA	Wisconsin	
hRSV/A/Germany/SN-11-00953/2011	2011-01-10	Infants	Germany	Saxony	
hRSV/A/USA/A-WI-629-23-08/2008	2008-01-17		USA	Wisconsin	
hRSV/A/Peru/PER-FLA7437/2009	2009-05-08	Infants	Peru	Piura	
hRSV/A/Belgium/BE06-6650/2006	2006-11-22		Belgium		
hRSV/A/Netherlands/RSV607/2007	2007-11-23		Netherlands		
hRSV/A/Germany/RP-08-03173/2008	2008-04-22	Preschool	Germany	Rhineland Palatinate	
hRSV/A/China/LZ01-09/2009	2009-09-01		China		
hRSV/A/Jordan/B1318/2011	2011-09-14	Infants	Jordan		
hRSV/A/Jordan/JOR-D3317/2011	2011-12-19		Jordan	Amman	
hRSV/A/Philippines/TBp-13-167/2013	2013-04-08		Philippines		
hRSV/A/England/131500026/2013	2013-04-08	Adults	United Kingdom	England	
hRSV/A/Kenya/KILIFI-WGS-1022-28-12/2011	2011-12-28		Kenya		
hRSV/A/Kenya/KILIFI-WGS-1159-24-05/2013	2013-05-24		Kenya		
hRSV/A/Kenya/KILIFI-WGS-1215-15-04/2014	2014-04-15		Kenya		
hRSV/A/Jordan/A0101/2011	2011-01-27	Newborns	Jordan		
hRSV/A/Jordan/D3120/2011	2011-02-10	Infants	Jordan		
hRSV/A/Jordan/B1199/2011	2011-03-02	Infants	Jordan		
hRSV/A/Peru/PER-FLE4190/2009	2009-09-17	Newborns	Peru	Lima	
hRSV/A/China/A-GZ-12-110/2012	2012-01-10		China	Guangdong	
hRSV/A/USA/A-WI-629-Q0282-10/2010	2010-02-16		USA	Wisconsin	
hRSV/A/Vietnam/VN-733-10-09/2009	2009-10-28		Vietnam		
hRSV/A/Peru/PER-FLE9761/2010	2010-05-20	Adults	Peru	Lima	
hRSV/A/Peru/PER-FLE2322/2009	2009-08-16	Infants	Peru	Lima	
hRSV/A/Peru/PER-FLE9490/2010	2010-04-24	Preschool	Peru	Piura	
hRSV/A/Peru/PER-FPP00538/2011	2011-05-16	Preschool	Peru	Piura	
hRSV/A/China/A-GZ-11-224/2011	2011-02-24		China	Guangdong	
hRSV/A/USA/A-WI-629-Q0198-10/2010	2010-01-25		USA	Wisconsin	
hRSV/A/Jordan/JOR-C2356/2012	2012-01-26		Jordan	Amman	
hRSV/A/Jordan/D3140/2011	2011-02-28	Newborns	Jordan		
hRSV/A/Italy/ITA-123/2009	2009-03-26	Newborns	Italy	Pavia	
hRSV/A/Germany/RP-11-01819/2011	2011-01-26	Preschool	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-09-03766/2009	2009-02-18	Infants	Germany	Rhineland Palatinate	
hRSV/A/Jordan/C2152/2011	2011-02-10	Preschool	Jordan		
hRSV/A/Jordan/D3159/2011	2011-03-16	Infants	Jordan		
hRSV/A/Jordan/JOR-A0215/2011	2011-02-24		Jordan	Amman	
hRSV/A/Jordan/D3055/2010	2010-09-19	Infants	Jordan		
hRSV/A/Jordan/C2101/2011	2011-01-13	Infants	Jordan		
hRSV/A/China/A-Chongqing-13-73-11/2011	2011-12-11		China	Chongqing	
hRSV/A/USA/UAMS-DID-023/2016	2016-01-21		USA	Arkansas	
hRSV/A/Germany/RP-10-04112/2010	2010-04-24	Infants	Germany	Rhineland Palatinate	
hRSV/A/Taiwan/TW-00026/2010	2010-10-01		Taiwan		
hRSV/A/USA/un-BCM-121310702A/2012	2012-01-09		USA		
hRSV/A/USA/un-BCM-121310701A/2012	2012-01-05		USA		
hRSV/A/Philippines/TTa-12-054/2012	2012-02-08		Philippines		
hRSV/A/Philippines/TOp-12-061/2012	2012-09-22		Philippines		
hRSV/A/Philippines/TEv-12-125/2012	2012-12-12		Philippines		
hRSV/A/Argentina/BA-HNRG-142/2015	2015-06-11	Infants	Argentina	Buenos Aires	
hRSV/A/Germany/NI-11-01119/2011	2011-01-10	Preschool	Germany	Lower Saxony	
hRSV/A/Kenya/KILIFI-WGS-1148-07-02/2013	2013-02-07		Kenya		
hRSV/A/Kenya/KILIFI-WGS-1314-31-03/2015	2015-03-31		Kenya		
hRSV/A/England/125040466/2012	2012-12-10	Geriatrics	United Kingdom	England	
hRSV/A/Mozambique/MAP-IR0296/2016	2016-04-18	Infants	Mozambique	Maputo	
hRSV/A/Mozambique/MAP-IR0298/2016	2016-04-18	Infants	Mozambique	Maputo	
hRSV/A/Mozambique/MAP-IR0220/2016	2016-04-04	Newborns	Mozambique	Maputo	
hRSV/A/Mozambique/MAP-IR0327/2016	2016-04-25	Preschool	Mozambique	Maputo	
hRSV/A/Mozambique/MAP-IR0314/2016	2016-04-20	Newborns	Mozambique	Maputo	
hRSV/A/Mozambique/MAP-IR0368/2016	2016-05-10	Infants	Mozambique	Maputo	
hRSV/A/USA/A-WI-629-Q0154-10/2010	2010-01-13		USA	Wisconsin	
hRSV/A/USA/A-WI-629-Q0284-10/2010	2010-02-16		USA	Wisconsin	
hRSV/A/USA/un-BCM-121310735A/2013	2013-12-04		USA		
hRSV/A/Italy/SIC-29_07/2019	2019-02-12		Italy	Sicily	
hRSV/A/Australia/A-NSW-WM3453A-13/2013	2013-07-08		Australia		
hRSV/A/Zambia/Lusaka-1210/2019	2019-03-15		Zambia		
hRSV/A/Zambia/Lusaka-1197/2019	2019-02-18		Zambia		
hRSV/A/Zambia/Lusaka-3204/2019	2019-02-14		Zambia		
hRSV/A/Zambia/Lusaka-1925/2018	2018-04-07		Zambia		
hRSV/A/Zambia/Lusaka-3102/2018	2018-04-18		Zambia		
hRSV/A/Zambia/Lusaka-3938/2018	2018-07-18		Zambia		
hRSV/A/Thailand/TH-B10806/2014	2014-08-27		Thailand		
hRSV/A/Argentina/BA-HNRG-185/2015	2015-07-17	Newborns	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Morocco/29H-14/2014	2014-02-14	Infants	Morocco	Rabat	
hRSV/A/Argentina/BA-HNRG-044/2014	2014-06-13	Children	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Argentina/BA-HNRG-097/2014	2014-08-27	Infants	Argentina		
hRSV/A/Argentina/BA-HNRG-105/2015	2015-04-27	Infants	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Argentina/BA-HNRG-151/2015	2015-06-19	Newborns	Argentina	Buenos Aires	
hRSV/A/USA/un-BCM-121310703A/2012	2012-02-13		USA		
hRSV/A/USA/un-BCM-121310704A/2012	2012-02-21		USA		
hRSV/A/USA/A-TX-009a-WGS/2012	2012-02-13		USA		
hRSV/A/USA/A-TX-009b-WGS/2012	2012-02-13		USA		
hRSV/A/England/164320005/2016	2016-10-20	Preschool	United Kingdom	England	
hRSV/A/Japan/UMC-810102061/2018	2018-10-01		Japan		
hRSV/A/Australia/A-NSW-WM3992A-16/2016	2016-09-20		Australia		
hRSV/A/Spain/CT-HUVH-319754/2015	2015-11-29	Newborns	Spain	Catalunya	
hRSV/A/England/174400229/2017	2017-10-26	Infants	United Kingdom	England	
hRSV/A/Brazil/RS-FIOCRUZ-68533/2021	2021-06-05	Newborns	Brazil	Rio Grande do Sul	
hRSV/A/Argentina/BA-HNRG-180/2015	2015-07-10	Preschool	Argentina	Buenos Aires	
hRSV/A/Argentina/ARG-012/2015	2015-06-10		Argentina		
hRSV/A/Australia/un-UMC-610102034/2019	2019-06-28		Australia		
hRSV/A/Germany/RP-20-03551/2020	2020-03-16	Infants	Germany	Rhineland Palatinate	
hRSV/A/Italy/LOM-46/2022	2022-01-11	Newborns	Italy	Lombardy	
hRSV/A/Argentina/BA-HNRG-307/2017	2017-05-02	Infants	Argentina	Buenos Aires	
hRSV/A/Italy/SIC-30_06/2019	2019-02-04		Italy	Sicily	
hRSV/A/Australia/VIC-RCH095/2018	2018-06-17	Preschool	Australia	Victoria	
hRSV/A/Australia/VIC-RCH027/2018	2018-03-07	Preschool	Australia	Victoria	
hRSV/A/Vietnam/SARI18NH17018/2017	2017-05-19	Preschool	Vietnam	Quang Ninh	
hRSV/A/Australia/VIC-RCH132/2017	2017-09-08	Infants	Australia	Victoria	
hRSV/A/Australia/un-UMC-610101032/2018	2018-08-30		Australia		
hRSV/A/Canada/un-UMC-010203022/2020	2020-01-02		Canada		
hRSV/A/Argentina/BA-HNRG-439/2019	2019-07-25	Newborns	Argentina	Buenos Aires	
hRSV/A/USA/un-BCM-121310708A/2012	2012-10-26		USA		
hRSV/A/USA/A-TX-029a-WGS/2012	2012-10-26		USA		
hRSV/A/USA/A-TX-010a-2014-WGS/2014	2014-11-24		USA		
hRSV/A/USA/A-TX-010b-2014-WGS/2014	2014-11-24		USA		
hRSV/A/Morocco/1256-17/2017	2017-03-06	Infants	Morocco	Agadir	
hRSV/A/Argentina/BA-HNRG-120/2015	2015-05-26	Preschool	Argentina	Buenos Aires	
hRSV/A/USA/UAMS-DID-007/2016	2016-01-20		USA	Arkansas	
hRSV/A/USA/UAMS-DID-028/2016	2016-01-19		USA	Arkansas	
hRSV/A/Australia/un-UMC-610101036/2018	2018-09-17		Australia		
hRSV/A/Australia/A-NSW-WM4241A-16/2016	2016-09-21		Australia		
hRSV/A/Australia/un-VIDRL-051/2015	2015-05-13		Australia		
hRSV/A/Japan/UMC-810101004/2017	2017-12-15		Japan		
hRSV/A/Germany/BE-18-02178/2018	2018-01-22	Preschool	Germany	Berlin	
hRSV/A/Japan/UMC-810101013/2018	2018-02-02		Japan		
hRSV/A/Mongolia/NCCD039/2018	2018-03-07	Infants	Mongolia	Ulaanbaatar	
hRSV/A/Netherlands/un-UMC-310101067/2018	2018-01-26		Netherlands		
hRSV/A/Germany/un-UMC-490103012/2020	2020-02-14		Germany		
hRSV/A/Japan/UMC-810102059/2018	2018-09-14		Japan		
hRSV/A/Japan/UMC-810102042/2018	2018-08-17		Japan		
hRSV/A/Spain/CT-HUVH-531106/2016	2016-12-10	Infants	Spain	Catalunya	
hRSV/A/Japan/UMC-810103039/2019	2019-11-18		Japan		
hRSV/A/Australia/A-NSW-WM2111B-14/2014	2014-08-06		Australia		
hRSV/A/Australia/A-NSW-WM0166A-16/2016	2016-11-10		Australia		
hRSV/A/England/145240248/2014	2014-12-24	Preschool	United Kingdom	England	
hRSV/A/Germany/NI-15-01870/2015	2015-01-20	Preschool	Germany	Lower Saxony	
hRSV/A/Argentina/BA-HNRG-236/2016	2016-05-31	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-112/2015	2015-05-11	Infants	Argentina	Buenos Aires	
hRSV/A/Spain/CT-HUVH-841007/2017	2017-10-11	Preschool	Spain	Catalunya	
hRSV/A/Spain/CT-HUVH-548065/2017	2017-10-23	Newborns	Spain	Catalunya	
hRSV/A/Australia/un-UMC-610102010/2019	2019-05-22		Australia		
hRSV/A/Finland/UMC-358101009/2017	2017-12-28		Finland		
hRSV/A/Canada/un-UMC-010202049/2019	2019-04-14		Canada		
hRSV/A/Philippines/CDC-99058/2019	2019-03-04		Philippines		
hRSV/A/Italy/SIC-13_07/2018	2018-02-16		Italy	Sicily	
hRSV/A/Italy/SIC-147_01/2018	2018-01-02		Italy	Sicily	
hRSV/A/Italy/SIC-14_05/2018	2018-02-01		Italy	Sicily	
hRSV/A/England/194400253/2019	2019-10-24	Preschool	United Kingdom	England	
hRSV/A/Canada/un-UMC-010202009/2018	2018-11-22		Canada		
hRSV/A/Canada/un-UMC-010102019/2018	2018-12-17		Canada		
hRSV/A/Canada/un-UMC-010102023/2018	2018-12-31		Canada		
hRSV/A/Australia/A-NSW-WM1236A-12/2012	2012-08-06		Australia		
hRSV/A/Jordan/JOR-D3721/2013	2013-02-11		Jordan	Amman	
hRSV/A/USA/un-BCM-121310728A/2013	2013-03-05		USA		
hRSV/A/USA/TH-10110/2012	2012-08-08		USA		
hRSV/A/Argentina/BA-HNRG-235/2016	2016-05-30	Preschool	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-275/2016	2016-06-29	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-011r/2016	2016-07-20	Newborns	Argentina	Buenos Aires	
hRSV/A/Argentina/ARG-011/2016	2016-07-20		Argentina		
hRSV/A/Argentina/BA-HNRG-215/2016	2016-05-11	Preschool	Argentina	Ciudad Autonoma de Buenos Aires	
hRSV/A/Argentina/BA-HNRG-264/2016	2016-06-21	Newborns	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-237/2016	2016-05-31	Infants	Argentina		
hRSV/A/Argentina/BA-HNRG-240/2016	2016-06-01	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/ARG-009/2016	2016-06-27		Argentina		
hRSV/A/Thailand/TH-CU91/2011	2011-08-22		Thailand		
hRSV/A/Thailand/TH-C3208/2012	2012-09-17		Thailand		
hRSV/A/Netherlands/un-DP-UU02-0055-D02/2018	2018-11-21	Infants	Netherlands		
hRSV/A/Netherlands/un-DP-UU02-0055-V01/2018	2018-11-20	Infants	Netherlands		
hRSV/A/Japan/UMC-810102016/2018	2018-07-20		Japan		
hRSV/A/Zambia/Lusaka-1129/2018	2018-05-29		Zambia		
hRSV/A/France/un-UMC-330102006/2018	2018-12-21		France		
hRSV/A/Australia/un-UMC-610101010/2018	2018-07-17		Australia		
hRSV/A/Australia/VIC-RCH053/2017	2017-07-07	Preschool	Australia	Victoria	
hRSV/A/Australia/VIC-RCH169/2018	2018-08-26	Infants	Australia	Victoria	
hRSV/A/Morocco/1068-17/2017	2017-02-21	Infants	Morocco	Meknes	
hRSV/A/Morocco/85-17/2016	2016-11-09	Preschool	Morocco	Meknes	
hRSV/A/Morocco/366-17/2016	2016-12-29	Preschool	Morocco	Meknes	
hRSV/A/Philippines/TOp-13-203/2013	2013-06-10		Philippines		
hRSV/A/Argentina/BA-HNRG-172/2015	2015-07-02	Infants	Argentina	Buenos Aires	
hRSV/A/Argentina/BA-HNRG-174/2015	2015-07-06	Infants	Argentina	Buenos Aires	
hRSV/A/USA/WA-BBI-S24924/2019	2019-12-14		USA	Washington	
hRSV/A/China/CCMU-17100/2017	2017-10-26		China		
hRSV/A/China/CCMU-0658/2019	2019-08-06		China		
hRSV/A/China/CCMU-WZ17019/2018	2018-01-04		China		
hRSV/A/Australia/VIC-RCH034/2019	2019-08-12	Newborns	Australia	Victoria	
hRSV/A/Russia/un-UMC-070103027/2020	2020-02-17		Russia		
hRSV/A/USA/MA-BIHM-13788/2022	2022-10-14		USA	Massachusetts	
hRSV/A/Ireland/NVRL-G22IRL60485/2022	2022-09-22		Ireland		
hRSV/A/Spain/GA-CHUAC-121/2024	2024-02-11	Geriatrics	Spain	Galicia	
hRSV/A/Spain/GA-SCQ_143617/2024	2024-03-06	Geriatrics	Spain	Galicia	
hRSV/A/Italy/SIC-107_48/2021	2021-11-29		Italy	Sicily	
hRSV/A/Australia/VIC-RCH107/2022	2022-07-09	Infants	Australia	Victoria	
hRSV/A/Australia/NT-RDH040/2022	2022-06-29	Infants	Australia	Northern Territory	
hRSV/A/Australia/VIC-RCH142/2022	2022-07-11	Infants	Australia	Victoria	
hRSV/A/Australia/QLD-RBWH311/2022	2022-06-27	Preschool	Australia	Queensland	
hRSV/A/Australia/VIC-RCH199/2022	2022-07-25	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH012/2022	2022-05-30	Newborns	Australia	Victoria	
hRSV/A/Australia/QLD-RBWH021/2022	2022-03-24	Infants	Australia	Queensland	
hRSV/A/Australia/QLD-RBWH149/2022	2022-05-16	Preschool	Australia	Queensland	
hRSV/A/Australia/QLD-RBWH290/2022	2022-08-05	Infants	Australia	Queensland	
hRSV/A/Australia/SA-PSA0017/2023	2023-08-31	Children	Australia	South Australia	
hRSV/A/Australia/QLD-PEH-KI0008/2022	2022-09-30	Adults	Australia	Queenland	
hRSV/A/Australia/VIC-RCH014/2022	2022-05-30	Newborns	Australia	Victoria	
hRSV/A/Australia/VIC-RCH287/2022	2022-08-27	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH0172/2023	2023-07-23	Infants	Australia	Victoria	
hRSV/A/Australia/VIC-RCH026/2022	2022-06-11	Infants	Australia	Victoria	
hRSV/A/Australia/NT-RDH0482/2022	2022-09-11	Infants	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0531/2022	2022-09-15	Preschool	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0151/2023	2023-09-12	Infants	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0219/2023	2023-10-12	Preschool	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0212/2023	2023-10-06	Geriatrics	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0176/2023	2023-09-22	Adults	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0089/2023	2023-07-29	Preschool	Australia	Northern Territory	
hRSV/A/Italy/SIC-145_06/2019	2019-02-07		Italy	Sicily	
hRSV/A/China/CCMU-0755/2019	2019-10-28		China		
hRSV/A/China/HB-40255/2020	2020-12-24	Infants	China	Hubei	
hRSV/A/Spain/un-UMC-340102010/2018	2018-12-27		Spain		
hRSV/A/Netherlands/un-DP-UU02-0058-V01/2018	2018-12-03	Infants	Netherlands		
Yale-RSV-0053	2023-10-22	Preschool	USA	Connecticut	
hRSV/A/Canada/un-UMC-010102015/2018	2018-12-16		Canada		
hRSV/A/Argentina/PAIS-HNRG-466/2022	2022-09-08	Infants	Argentina	Buenos Aires	
hRSV/A/Spain/CT-HUVH-743230/2022	2022-02-02	Infants	Spain	Catalunya	
Yale-RSV-0228	2024-01-27	Infants	USA	Connecticut	
hRSV/A/USA/WA-UW-35797/2024	2024-01-03		USA	Washington	
hRSV/A/Brazil/RJ-FIOCRUZ-8997/2023	2023-04-11		Brazil	Rio de Janeiro	
hRSV/A/Brazil/PB-IEC-038400/2023	2023-06-03	Newborns	Brazil	Paraiba	
hRSV/A/Brazil/DF-FIOCRUZ-4537/2023	2023-04-01	Infants	Brazil	Federal District	
hRSV/A/Brazil/DF-FIOCRUZ-4540/2023	2023-04-01	Infants	Brazil	Federal District	
hRSV/A/Brazil/DF-FIOCRUZ-4532/2023	2023-03-24	Newborns	Brazil	Federal District	
hRSV/A/Brazil/DF-FIOCRUZ-4541/2023	2023-04-02	Newborns	Brazil	Federal District	
hRSV/A/Brazil/RS-FIOCRUZ-68587/2021	2021-08-04	Geriatrics	Brazil	Rio Grande do Sul	
hRSV/A/Brazil/ES-FIOCRUZ-11410/2022	2022-04-21	Newborns	Brazil	Espirito Santo	
hRSV/A/Brazil/ES-FIOCRUZ-11412/2022	2022-04-21	Newborns	Brazil	Espirito Santo	
hRSV/A/Brazil/PR-FIOCRUZ-10761/2022	2022-04-26	Newborns	Brazil	Parana	
hRSV/A/Brazil/PR-FIOCRUZ-10771/2022	2022-04-29	Newborns	Brazil	Parana	
hRSV/A/Australia/un-UMC-610101041/2018	2018-09-19		Australia		
hRSV/A/Thailand/KCMH-PEH0769/2023	2023-07-13		Thailand		
hRSV/A/Thailand/KCMH-PEH0875/2023	2023-08-12		Thailand		
hRSV/A/USA/WA-BBI-S23803/2022	2022-12-04		USA	Washington	
hRSV/A/Australia/un-UMC-610102013/2019	2019-05-25		Australia		
hRSV/A/France/ARA-HCL021216350501/2021	2021-12-05	Geriatrics	France	Auvergne-Rhone-Alpes	
Yale-RSV-0142	2023-11-30	Preschool	USA	Connecticut	
hRSV/A/USA/AZ-ASU-101585/2022	2022-12-14		USA	Arizona	
Yale-RSV-0147	2023-12-02	Infants	USA	Connecticut	
Yale-RSV-0118	2023-11-22	Adults	USA	Connecticut	
Yale-RSV-0037	2023-10-22	Preschool	USA	Connecticut	
Yale-RSV-0140	2023-11-29	Infants	USA	Connecticut	
Yale-RSV-0187	2023-12-05	Newborns	USA	Connecticut	
Yale-RSV-0259	2024-02-04	Adults	USA	Connecticut	
hRSV/A/China/CCMU-0546/2019	2019-05-05		China		
Yale-RSV-0184	2023-12-11	Children	USA	Connecticut	
Yale-RSV-0061	2023-10-22	Preschool	USA	Connecticut	
Yale-RSV-0075	2023-10-13	Infants	USA	Connecticut	
Yale-RSV-0076	2023-10-19	Adults	USA	Connecticut	
hRSV/A/China/CCMU-0161/2019	2019-01-25		China		
hRSV/A/China/CCMU-0074/2019	2019-01-16		China		
hRSV/A/Australia/VIC-RCH0131/2023	2023-06-17	Newborns	Australia	Victoria	
hRSV/A/Australia/NT-RDH0083/2023	2023-06-29	Preschool	Australia	Northern Territory	
hRSV/A/Australia/NT-RDH0109_Iso/2023	2023-08-15	Preschool	Australia	Northern Territory	
hRSV/A/Thailand/Ayuttaya-TNIC015/2020	2020-11-10		Thailand	Ayuttaya	
hRSV/A/Thailand/CMI-1556/2020	2020-09-14		Thailand	Chiang Mai	
hRSV/A/Spain/GA-CHUAC-173/2024	2024-03-20	Adults	Spain	Galicia	
hRSV/A/Spain/GA-CHUAC-179/2024	2024-03-25	Adults	Spain	Galicia	
Yale-RSV-0251	2024-02-04	Children	USA	Connecticut	
hRSV/A/USA/WA-BBI-S23755/2022	2022-11-06		USA	Washington	
hRSV/A/France/GES-RELAB-IPP29704/2023	2023-11-24	Preschool	France	Grand Est	
hRSV/A/Ireland/NVRL-G22IRL37476/2022	2022-06-28		Ireland		
hRSV/A/Belgium/0000002/2022	2022-03-23	Geriatrics	Belgium	Brussels	
hRSV/A/Germany/BY-22-00774/2021	2021-10-22	Infants	Germany	Bavaria	
hRSV/A/Italy/LOM-28/2021	2021-12-17	Infants	Italy	Lombardy	
hRSV/A/Austria/MUW1446022/2021	2021-09-09	Preschool	Austria		
hRSV/A/Germany/NW-21-06819/2021	2021-09-09	Infants	Germany	North Rhine-Westphalia	
hRSV/A/USA/TH-10618/2013	2013-06-25		USA		
hRSV/A/USA/TH-10464/2013	2013-11-15		USA		
hRSV/A/USA/TH-10508/2013	2013-10-15		USA		
hRSV/A/Zambia/Lusaka-2074/2018	2018-06-15		Zambia		
hRSV/A/USA/TH-10533/2013	2013-10-10		USA		
hRSV/A/USA/TH-10387/2013	2013-07-09		USA		
hRSV/A/USA/TH-10473/2013	2013-08-12		USA		
hRSV/A/USA/TH-10477/2013	2013-12-05		USA		
hRSV/A/USA/TH-10546/2013	2013-11-21		USA		
hRSV/A/USA/TH-10433/2013	2013-07-30		USA		
hRSV/A/USA/TH-10552/2013	2013-06-19		USA		
hRSV/A/USA/TH-10398/2013	2013-07-30		USA		
hRSV/A/USA/TH-10367/2013	2013-09-23		USA		
hRSV/A/USA/TH-10518/2013	2013-08-23		USA		
hRSV/A/USA/un-BCM-121310720A/2013	2013-01-22		USA		
hRSV/A/Argentina/BA-HNRG-181/2015	2015-07-13	Infants	Argentina	Ciudad Autonoma de Buenos Aires	
