submissionId	country	date	genotype	season	switchseason	switch	seltype
OK299854.1	Netherlands	2017-12-21	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515918.1	Netherlands	2017-12-21	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516077.1	Netherlands	2017-12-22	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515968.1	Netherlands	2017-12-22	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OK299574.1	Netherlands	2017-12-22	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376994.1	Netherlands	2017-12-22	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377337.1	Netherlands	2017-12-23	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299705.1	Netherlands	2017-12-23	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377352.1	Netherlands	2017-12-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299581.1	Netherlands	2017-12-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515983.1	Netherlands	2017-12-27	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP377378.1	Netherlands	2017-12-27	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299780.1	Netherlands	2017-12-27	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515705.1	Netherlands	2017-12-28	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515743.1	Netherlands	2017-12-28	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299838.1	Netherlands	2017-12-29	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376476.1	Netherlands	2017-12-29	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP377425.1	Netherlands	2017-12-31	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515665.1	Netherlands	2017-12-31	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299583.1	Netherlands	2017-12-31	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299895.1	Netherlands	2018-01-02	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
