"name"	"date"	"continent"	"country"	"region"	"agestr"	"specimen"	"age"	"agecat"
"hRSV/B/Netherlands/un-DP-UU01A-0035-V02/2018"	2018-11-26	"Europe"	"Netherlands"	NA	"297 days"	"Nasopharyngeal swab"	0.814	"Infants"
"hRSV/B/Spain/un-DP-SE02-0050-D04/2019"	2019-01-02	"Europe"	"Spain"	NA	"65 days"	"Nasopharyngeal swab"	0.178	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0006-D03/2017"	2017-11-20	"Europe"	"Netherlands"	NA	"294 days"	"Nasopharyngeal swab"	0.805	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8304-D04/2018"	2018-11-22	"Europe"	"United Kingdom"	NA	"132 days"	"Nasopharyngeal swab"	0.362	"Infants"
"hRSV/B/United Kingdom/DP-OX01A-8960-V02/2019"	2019-12-31	"Europe"	"United Kingdom"	NA	"239 days"	"Nasopharyngeal swab"	0.655	"Infants"
"hRSV/B/Spain/un-DP-SE01A-0109-V02/2019"	2019-12-16	"Europe"	"Spain"	NA	"288 days"	"Nasopharyngeal swab"	0.789	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8898-D02/2018"	2018-12-01	"Europe"	"United Kingdom"	NA	"25 days"	"Nasopharyngeal swab"	0.068	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0077-V01/2019"	2019-01-04	"Europe"	"Netherlands"	NA	"178 days"	"Nasopharyngeal swab"	0.488	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8832-D08/2018"	2018-11-05	"Europe"	"United Kingdom"	NA	"75 days"	"Nasopharyngeal swab"	0.205	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0029-D03/2018"	2018-01-05	"Europe"	"Netherlands"	NA	"8 days"	"Nasopharyngeal swab"	0.022	"Infants"
"hRSV/B/Spain/un-DP-SE02-0005-V01/2019"	2019-01-04	"Europe"	"Spain"	NA	"60 days"	"Nasopharyngeal swab"	0.164	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0152-V01/2019"	2019-11-22	"Europe"	"Netherlands"	NA	"11 days"	"Nasopharyngeal swab"	0.03	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8985-D04/2018"	2018-10-29	"Europe"	"United Kingdom"	NA	"210 days"	"Nasopharyngeal swab"	0.575	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8372-V01/2018"	2018-11-28	"Europe"	"United Kingdom"	NA	"111 days"	"Nasopharyngeal swab"	0.304	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8128-V01/2019"	2019-02-05	"Europe"	"United Kingdom"	NA	"62 days"	"Nasopharyngeal swab"	0.17	"Infants"
