sample	target	n	MAFmean	MAFstd
Yale-RSV-0029	RSVB	386	0.013793544041450778	0.05392460775746779
Yale-RSV-0030	RSVA	646	0.015475630030959754	0.061475612329682586
Yale-RSV-0031	RSVB	456	0.012332247807017544	0.055913977263410464
Yale-RSV-0033	RSVB	324	0.02036370987654321	0.06983221758007445
Yale-RSV-0034	RSVB	435	0.009674285057471263	0.04442572770539136
Yale-RSV-0035	RSVB	335	0.016286958208955222	0.06548045974994461
Yale-RSV-0036	RSVB	371	0.01767434501347709	0.06760622264127161
Yale-RSV-0037	RSVA	515	0.011244332038834954	0.046675623657677176
Yale-RSV-0038	RSVB	474	0.017507949367088604	0.06647139523239448
Yale-RSV-0039	RSVB	378	0.013737222222222224	0.05486223765832805
Yale-RSV-0040	RSVB	381	0.023308149606299212	0.07879383889784235
Yale-RSV-0041	RSVB	427	0.01334395550351288	0.06048317895531179
Yale-RSV-0042	RSVB	420	0.017359883333333333	0.065039209637094
Yale-RSV-0043	RSVA	629	0.01264064705882353	0.056936285279087236
Yale-RSV-0044	RSVA	1030	0.021325664077669906	0.06669429009917278
Yale-RSV-0044	RSVB	420	0.01428458095238095	0.05652927482802985
Yale-RSV-0045	RSVB	416	0.018973586538461536	0.06894950138315192
Yale-RSV-0047	RSVA	1097	0.09492989881494986	0.13232827767629074
Yale-RSV-0047	RSVB	462	0.04421178787878788	0.092048552915336
Yale-RSV-0048	RSVB	460	0.017551721739130437	0.06637131052668133
Yale-RSV-0049	RSVB	377	0.01523416445623342	0.06157136900317392
Yale-RSV-0050	RSVB	101	0.022509019801980196	0.08009553073648742
Yale-RSV-0051	RSVA	860	0.01470746976744186	0.05408842367293425
Yale-RSV-0051	RSVB	420	0.017285440476190475	0.06679076939196162
Yale-RSV-0052	RSVB	343	0.0185122944606414	0.0717438951823732
Yale-RSV-0053	RSVA	645	0.015190342635658917	0.06257301865546573
Yale-RSV-0054	RSVB	336	0.01588502678571429	0.06343087243965664
Yale-RSV-0055	RSVA	623	0.013422982343499196	0.05780848417178259
