sample	target	n	MAFmean	MAFstd
Yale-RSV-0130	RSVB	23	0.24538817391304346	0.13434154108318375
Yale-RSV-0133	RSVA	45	0.26669248888888886	0.08559367685455993
Yale-RSV-0134	RSVB	8	0.26368137500000005	0.07615391565195449
Yale-RSV-0135	RSVB	9	0.2187457777777778	0.1572560754047183
Yale-RSV-0136	RSVA	33	0.2424049090909091	0.16055432932273342
Yale-RSV-0137	RSVB	29	0.24409089655172414	0.1400110779765926
Yale-RSV-0138	RSVB	27	0.22284307407407408	0.12629654925821515
Yale-RSV-0139	RSVB	25	0.231138	0.12941994252529243
Yale-RSV-0140	RSVA	25	0.20736912	0.11092432642321219
Yale-RSV-0141	RSVB	25	0.24208960000000002	0.14070829596219028
Yale-RSV-0142	RSVA	26	0.18260876923076924	0.10533344333280202
Yale-RSV-0144	RSVB	14	0.28696557142857143	0.1329204532560817
Yale-RSV-0145	RSVB	16	0.2423629375	0.11770718738262825
Yale-RSV-0146	RSVA	97	0.16186823711340206	0.11890622665884777
Yale-RSV-0146	RSVB	27	0.23882462962962964	0.13653321685924813
Yale-RSV-0147	RSVA	30	0.21635179999999998	0.12838176997302572
Yale-RSV-0149	RSVB	32	0.27174690625	0.1512750418843768
Yale-RSV-0150	RSVB	26	0.19858611538461537	0.13002982504804872
Yale-RSV-0151	RSVB	2	0.11937749999999997	0.08899009551910822
Yale-RSV-0152	RSVA	69	0.17157960869565217	0.10055424251093323
Yale-RSV-0152	RSVB	26	0.22431596153846153	0.1332660898976122
Yale-RSV-0153	RSVB	23	0.25772426086956524	0.13875621573340824
Yale-RSV-0154	RSVB	30	0.23686176666666667	0.13736143487559238
Yale-RSV-0155	RSVA	58	0.21544475862068965	0.12950245487970696
Yale-RSV-0155	RSVB	30	0.22001193333333333	0.137147159390029
Yale-RSV-0156	RSVB	28	0.2107952142857143	0.1368697347762834
Yale-RSV-0157	RSVB	29	0.22220244827586205	0.14130167370548177
Yale-RSV-0160	RSVA	32	0.23859084375	0.15498624323179083
Yale-RSV-0161	RSVA	31	0.17849254838709677	0.12586989271408758
Yale-RSV-0161	RSVB	65	0.17691746153846155	0.10972268339959906
Yale-RSV-0162	RSVB	13	0.20290646153846156	0.12678088098869336
Yale-RSV-0163	RSVB	9	0.2857314444444444	0.10009294122353374
Yale-RSV-0164	RSVA	68	0.15843413235294118	0.11672787619187547
Yale-RSV-0164	RSVB	29	0.19951834482758618	0.12801422223534267
Yale-RSV-0166	RSVB	29	0.22858406896551722	0.14369102283991436
Yale-RSV-0167	RSVA	67	0.1737700895522388	0.12300455047455117
Yale-RSV-0167	RSVB	26	0.21269484615384618	0.1316373708408649
Yale-RSV-0168	RSVB	16	0.214273125	0.13556407386515304
Yale-RSV-0169	RSVA	129	0.32311403100775193	0.12897519554155912
Yale-RSV-0169	RSVB	175	0.38198405142857145	0.09851570860546845
Yale-RSV-0170	RSVB	24	0.23876033333333332	0.13555654723997357
Yale-RSV-0171	RSVB	27	0.2098021851851852	0.13405606426188807
Yale-RSV-0172	RSVB	13	0.26181215384615386	0.14579386788193238
Yale-RSV-0173	RSVB	28	0.20629974999999998	0.12084593098763614
Yale-RSV-0175	RSVA	89	0.17072835955056181	0.1263526229893985
Yale-RSV-0175	RSVB	31	0.20791293548387096	0.10297893350873126
Yale-RSV-0176	RSVA	70	0.1848151857142857	0.11737990014790918
Yale-RSV-0176	RSVB	32	0.21911921875	0.12526179634379025
Yale-RSV-0177	RSVB	27	0.23051085185185183	0.13245144237786616
Yale-RSV-0178	RSVB	35	0.2854471714285714	0.13877284411276658
Yale-RSV-0179	RSVA	30	0.22499523333333335	0.15555431923190785
Yale-RSV-0180	RSVB	30	0.2083382666666667	0.13169702479972298
Yale-RSV-0181	RSVA	76	0.18479734210526316	0.12785893832444697
Yale-RSV-0181	RSVB	36	0.23212916666666666	0.11333627915506264
Yale-RSV-0182	RSVB	63	0.2748063492063492	0.11397847012769688
Yale-RSV-0183	RSVA	68	0.1739154411764706	0.13864624411406457
Yale-RSV-0183	RSVB	25	0.21313796	0.13446012129019272
Yale-RSV-0184	RSVA	26	0.1893201153846154	0.09915020614131952
Yale-RSV-0185	RSVB	25	0.24604420000000002	0.12341572947967369
Yale-RSV-0186	RSVB	24	0.268404625	0.1250705255566921
Yale-RSV-0187	RSVA	31	0.21883787096774193	0.10596424443391016
Yale-RSV-0188	RSVB	27	0.22754074074074074	0.1472137100321509
Yale-RSV-0189	RSVA	28	0.30355621428571433	0.15035375189750363
Yale-RSV-0191	RSVA	10	0.19163080000000002	0.12424609452104855
Yale-RSV-0191	RSVB	6	0.3455006666666667	0.1460113585946883
Yale-RSV-0193	RSVB	17	0.22438317647058822	0.14281385092281634
Yale-RSV-0194	RSVB	17	0.16778123529411765	0.11819977090741832
Yale-RSV-0195	RSVB	21	0.23077085714285714	0.1593342305037702
Yale-RSV-0196	RSVB	26	0.19856665384615385	0.11069239690636112
Yale-RSV-0197	RSVB	14	0.2537647142857143	0.14293546809146943
Yale-RSV-0198	RSVA	148	0.21540412837837838	0.132738816710093
Yale-RSV-0198	RSVB	21	0.22812571428571427	0.13458912736218437
Yale-RSV-0199	RSVA	43	0.15093453488372094	0.11871703649782593
Yale-RSV-0199	RSVB	20	0.1945328	0.12724092363229683
Yale-RSV-0200	RSVB	21	0.21335509523809526	0.13758664401020354
Yale-RSV-0201	RSVB	21	0.21933799999999998	0.13832832214626187
Yale-RSV-0202	RSVB	15	0.21037513333333333	0.12064335102386153
Yale-RSV-0203	RSVA	135	0.23782737777777777	0.13099096117955725
Yale-RSV-0203	RSVB	28	0.1928160357142857	0.12546470265952542
Yale-RSV-0204	RSVB	45	0.20056324444444446	0.13039681221026064
Yale-RSV-0205	RSVA	58	0.18142881034482758	0.11996621209403699
Yale-RSV-0205	RSVB	19	0.21096731578947367	0.1325616593367666
Yale-RSV-0206	RSVB	18	0.2162278333333333	0.13999069489549484
Yale-RSV-0207	RSVA	65	0.14497429230769232	0.09944047761360864
Yale-RSV-0207	RSVB	22	0.21158986363636362	0.12720787745534787
Yale-RSV-0208	RSVA	31	0.23134067741935485	0.13589548245137684
Yale-RSV-0209	RSVB	26	0.19722365384615384	0.11580955287019885
Yale-RSV-0210	RSVB	23	0.2258641304347826	0.14735514118720255
Yale-RSV-0211	RSVB	30	0.19095516666666665	0.13702638824318206
Yale-RSV-0212	RSVA	52	0.1900923076923077	0.14277259310725618
Yale-RSV-0212	RSVB	25	0.19437391999999998	0.12347781230951306
Yale-RSV-0213	RSVB	19	0.21022015789473686	0.13219876362939384
Yale-RSV-0215	RSVB	34	0.1937105	0.11706733519548793
Yale-RSV-0216	RSVA	239	0.23311895815899583	0.13206025056640663
Yale-RSV-0216	RSVB	925	0.2957931459459459	0.1172264533304974
Yale-RSV-0217	RSVA	44	0.18130179545454547	0.13158296592725444
Yale-RSV-0217	RSVB	27	0.23932222222222224	0.1268806956430796
Yale-RSV-0218	RSVB	37	0.2667403513513514	0.14416565734410003
Yale-RSV-0219	RSVB	19	0.20518757894736842	0.11883780812954725
Yale-RSV-0220	RSVB	26	0.21366126923076922	0.13556084355965264
Yale-RSV-0221	RSVA	35	0.21482477142857143	0.14141067260123777
Yale-RSV-0223	RSVB	19	0.21767657894736844	0.1518309718196579
Yale-RSV-0224	RSVB	15	0.22661959999999998	0.12147406131516311
Yale-RSV-0225	RSVB	24	0.19402041666666667	0.12906712419408703
Yale-RSV-0226	RSVB	26	0.20979796153846156	0.13216199328202669
Yale-RSV-0227	RSVB	18	0.19030511111111112	0.11953956761325263
Yale-RSV-0228	RSVA	25	0.26176152	0.13699559520112317
Yale-RSV-0229	RSVB	28	0.20212142857142856	0.10848230692040287
Yale-RSV-0230	RSVB	22	0.19123363636363636	0.12920324481239606
Yale-RSV-0231	RSVA	23	0.19766026086956523	0.11538610158515523
Yale-RSV-0232	RSVB	15	0.2923824	0.1720202237166981
Yale-RSV-0233	RSVB	24	0.203546	0.14716321915390113
Yale-RSV-0234	RSVB	13	0.2651894615384615	0.15169105460310625
Yale-RSV-0236	RSVB	23	0.16494465217391305	0.1256044612107999
Yale-RSV-0237	RSVA	25	0.23197356	0.14790252986823227
Yale-RSV-0238	RSVB	27	0.19704888888888888	0.12373945469143355
Yale-RSV-0239	RSVB	22	0.19832399999999997	0.11308653108002865
Yale-RSV-0240	RSVB	8	0.225187625	0.15659098912402106
Yale-RSV-0241	RSVA	46	0.15162671739130434	0.1190356482102293
Yale-RSV-0241	RSVB	28	0.20361939285714284	0.13193880602043964
Yale-RSV-0242	RSVB	13	0.2028316923076923	0.10660515254541296
Yale-RSV-0243	RSVB	17	0.20279576470588237	0.13548549956754108
Yale-RSV-0244	RSVA	288	0.21038252777777777	0.10703644086355776
Yale-RSV-0244	RSVB	912	0.30767154166666666	0.11723815986279223
Yale-RSV-0245	RSVB	29	0.291621724137931	0.13743217676987768
Yale-RSV-0246	RSVB	30	0.19372006666666666	0.13185596616944628
Yale-RSV-0247	RSVB	8	0.27852587500000003	0.14259071983271113
Yale-RSV-0248	RSVB	27	0.20025325925925924	0.13314612620338853
Yale-RSV-0249	RSVB	19	0.23457826315789473	0.1516183788529031
Yale-RSV-0250	RSVB	13	0.20959476923076922	0.1310529899348312
Yale-RSV-0251	RSVA	30	0.20307963333333331	0.11337526906464923
Yale-RSV-0252	RSVA	20	0.22716145000000001	0.108427131163102
Yale-RSV-0253	RSVB	19	0.15540526315789474	0.10503812065300763
Yale-RSV-0254	RSVA	28	0.20609839285714288	0.14312106912482364
Yale-RSV-0255	RSVA	32	0.18971171875	0.14348408869194193
Yale-RSV-0255	RSVB	22	0.22078127272727277	0.12141789857865033
Yale-RSV-0256	RSVB	20	0.24059824999999999	0.13633273818970496
Yale-RSV-0257	RSVB	30	0.22474586666666668	0.12930932331528716
Yale-RSV-0258	RSVA	857	0.32385169311551926	0.11037608117552566
Yale-RSV-0258	RSVB	487	0.2970173347022588	0.11118838391115585
Yale-RSV-0259	RSVA	26	0.21999334615384614	0.11460924090733429
Yale-RSV-0260	RSVB	1	0.08236900000000003	
Yale-RSV-0261	RSVA	89	0.24228892134831462	0.1279124123142495
Yale-RSV-0261	RSVB	27	0.20949955555555555	0.12257111757397551
Yale-RSV-0262	RSVA	29	0.21606920689655174	0.13076497239523702
Yale-RSV-0263	RSVB	21	0.18996838095238094	0.13096638457385779
Yale-RSV-0264	RSVA	43	0.20037313953488373	0.13720949421207138
Yale-RSV-0264	RSVB	22	0.21907786363636364	0.12232002955179479
Yale-RSV-0265	RSVB	27	0.18924218518518518	0.12984916006305072
Yale-RSV-0267	RSVB	22	0.24264231818181817	0.1405407553394037
Yale-RSV-0268	RSVB	19	0.2190403157894737	0.13257688766232248
Yale-RSV-0269	RSVB	16	0.2487531875	0.13067462786744732
Yale-RSV-0270	RSVB	18	0.21711411111111112	0.1504483153651852
Yale-RSV-0273	RSVA	39	0.1672493846153846	0.11677254602692935
Yale-RSV-0273	RSVB	21	0.21565571428571428	0.13945525798088176
Yale-RSV-0274	RSVB	21	0.2686919523809524	0.14834286735413882
Yale-RSV-0275	RSVB	20	0.1793678	0.11896963251563511
Yale-RSV-0276	RSVB	25	0.23919084	0.1422489562684849
Yale-RSV-0277	RSVA	34	0.2137435882352941	0.12960154777838337
Yale-RSV-0278	RSVB	24	0.20161624999999997	0.12315463926485483
Yale-RSV-0279	RSVB	5	0.3126654	0.121640172672518
Yale-RSV-0280	RSVB	23	0.240415	0.1392948897290793
Yale-RSV-0281	RSVB	11	0.27712963636363636	0.16737369280402026
Yale-RSV-0282	RSVB	31	0.21883754838709676	0.14383307046129057
Yale-RSV-0283	RSVB	20	0.2074012	0.14603884494151761
Yale-RSV-0284	RSVB	25	0.21428155999999998	0.13386670568332765
Yale-RSV-0285	RSVB	15	0.2131576	0.13269105695982036
Yale-RSV-0287	RSVA	3	0.18936133333333335	0.09341239263252676
Yale-RSV-0287	RSVB	2	0.11827500000000002	0.0941060130809929
Yale-RSV-0289	RSVA	302	0.28986506622516556	0.12454134925675599
Yale-RSV-0289	RSVB	165	0.28291096363636364	0.10398727197541496
Yale-RSV-0291	RSVB	34	0.19309167647058822	0.13759744333154236
Yale-RSV-0292	RSVA	34	0.2047325588235294	0.13260390565713642
Yale-RSV-0293	RSVB	28	0.23914460714285715	0.14142097781481788
Yale-RSV-0294	RSVA	27	0.2377938888888889	0.14353655776794916
Yale-RSV-0295	RSVB	40	0.208871925	0.13080888759568238
Yale-RSV-0296	RSVB	28	0.19804925	0.1380255291012352
Yale-RSV-0297	RSVA	34	0.20370870588235296	0.13054848389322626
Yale-RSV-0298	RSVB	34	0.21377114705882352	0.12165839938897277
Yale-RSV-0299	RSVA	69	0.14840195652173913	0.10783810580113828
Yale-RSV-0299	RSVB	31	0.22103229032258062	0.13042653370721607
Yale-RSV-0300	RSVB	23	0.2314971739130435	0.11135774192200729
Yale-RSV-0301	RSVB	10	0.18799079999999999	0.09446965746947532
Yale-RSV-0302	RSVB	33	0.1917778181818182	0.1153432758057049
Yale-RSV-0303	RSVB	31	0.20828141935483868	0.12075470598828965
Yale-RSV-0304	RSVB	9	0.2987287777777778	0.11319537563961896
Yale-RSV-0305	RSVB	34	0.23299523529411764	0.14332884562898318
Yale-RSV-0306	RSVB	33	0.2181849090909091	0.13674678084587671
Yale-RSV-0307	RSVA	30	0.25180176666666665	0.1595150499172918
Yale-RSV-0308	RSVB	35	0.20560799999999999	0.11807122494843324
Yale-RSV-0309	RSVB	6	0.282903	0.17832845730168811
Yale-RSV-0310	RSVA	76	0.14277915789473683	0.1140303714319482
Yale-RSV-0310	RSVB	29	0.2140004827586207	0.12406559263396022
Yale-RSV-0311	RSVA	58	0.2786639310344827	0.10227330745431223
Yale-RSV-0311	RSVB	83	0.336258265060241	0.1387144908526656
Yale-RSV-0312	RSVB	30	0.19533293333333335	0.1068008555376857
Yale-RSV-0313	RSVA	69	0.18598246376811595	0.13044342938963546
Yale-RSV-0313	RSVB	33	0.2056588181818182	0.11721239300903045
